id,employee_id,department,manager,category,description,resolution,status,priority,created_at,resolved_at
212,1040,Marketing,Robert Taylor,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Medium,2026-02-03,2026-02-18
213,1113,Marketing,Robert Taylor,Work Environment,Office AC not working.,Facilities Maintenance,In Progress,Low,2026-02-12,
214,1115,Sales,Sarah Johnson,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,Resolved,Medium,2026-04-24,2026-05-06
215,1147,Marketing,Emily Davis,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Critical,2026-02-19,2026-03-05
216,1136,Marketing,Emily Davis,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,In Progress,Critical,2026-05-09,
217,1065,Marketing,Robert Taylor,Work Environment,Office AC not working.,Facilities Maintenance,In Progress,Low,2026-02-05,
218,1032,Operations,Robert Taylor,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,High,2026-01-27,2026-02-15
219,1038,Operations,Emily Davis,Work Environment,Office AC not working.,Facilities Maintenance,In Progress,Critical,2026-05-12,
220,1007,Technology,Emily Davis,Work Environment,Office AC not working.,Facilities Maintenance,Submitted,Critical,2026-03-31,
221,1096,Operations,Sarah Johnson,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,Medium,2026-04-09,2026-04-14
222,1010,Engineering,Michael Brown,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,High,2026-02-07,2026-02-14
223,1002,Technology,Emily Davis,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,In Progress,Low,2026-04-25,
224,1109,Marketing,Sarah Johnson,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,Low,2026-05-21,2026-06-09
225,1118,Engineering,David Wilson,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,Resolved,Low,2026-03-03,2026-03-19
226,1005,Finance,Robert Taylor,Work Environment,Office AC not working.,Facilities Maintenance,In Progress,Medium,2026-05-18,
227,1062,Finance,David Wilson,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Critical,2026-06-07,2026-06-21
228,1018,Engineering,Robert Taylor,Work Environment,Office AC not working.,Facilities Maintenance,In Progress,Low,2026-04-03,
229,1065,Engineering,Emily Davis,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,Submitted,Low,2026-04-06,
230,1027,Operations,Sarah Johnson,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,In Progress,High,2026-06-18,
231,1119,HR,Michael Brown,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,Critical,2026-06-14,2026-06-22
232,1076,Technology,David Wilson,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Medium,2026-04-28,2026-05-02
233,1132,Engineering,Michael Brown,Work Environment,Office AC not working.,Facilities Maintenance,In Progress,Critical,2026-03-21,
234,1013,Engineering,Sarah Johnson,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,High,2026-03-15,2026-03-29
235,1099,Operations,Emily Davis,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,Resolved,High,2026-04-13,2026-04-30
236,1022,Finance,Michael Brown,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,Critical,2026-05-13,2026-05-24
237,1083,Marketing,Sarah Johnson,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,Low,2026-05-20,2026-06-01
238,1043,Operations,Michael Brown,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,Critical,2026-04-25,2026-05-11
239,1071,Sales,Michael Brown,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,Resolved,Low,2026-06-07,2026-06-23
240,1041,Finance,Michael Brown,Work Environment,Office AC not working.,Facilities Maintenance,In Progress,Low,2026-05-12,
241,1033,Sales,Emily Davis,Work Environment,Office AC not working.,Facilities Maintenance,In Progress,Low,2026-01-09,
242,1146,Operations,Michael Brown,Work Environment,Office AC not working.,Facilities Maintenance,In Progress,Low,2026-04-09,
243,1020,Finance,Michael Brown,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Medium,2026-04-06,2026-04-23
244,1007,Operations,Michael Brown,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Medium,2026-03-05,2026-03-11
245,1115,HR,David Wilson,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,Resolved,Medium,2026-03-09,2026-03-20
246,1019,Finance,Sarah Johnson,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Critical,2026-02-01,2026-02-08
247,1082,Finance,David Wilson,Work Environment,Office AC not working.,Facilities Maintenance,Submitted,High,2026-06-24,
248,1045,HR,Michael Brown,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,High,2026-03-18,2026-03-26
249,1007,Technology,Sarah Johnson,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,High,2026-03-02,2026-03-20
250,1017,Finance,Robert Taylor,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,High,2026-02-03,2026-02-08
